make,price,body,mileage,engV,engType,registration,year,drive
23,15500.0,0,68,2.5,1,1,2010,1
50,20500.0,3,173,1.8,1,1,2011,2
50,35000.0,2,135,5.5,3,1,2008,2
50,17800.0,5,162,1.8,0,1,2012,0
55,16600.0,0,83,2.0,3,1,2013,1
30,6500.0,3,199,2.0,3,1,2003,0
59,10500.0,4,185,1.5,0,1,2011,0
50,21500.0,3,146,1.8,1,1,2012,2
50,22700.0,3,125,2.2,0,1,2010,2
55,20447.154,0,0,1.2,3,1,2016,0
50,20400.0,3,190,1.8,1,1,2011,2
50,22500.0,3,164,1.8,1,1,2012,2
50,21500.0,3,159,1.8,1,1,2012,2
5,19999.0,3,290,4.8,3,1,2006,2
5,129222.0,3,2,5.0,3,1,2016,1
50,99999.0,0,0,3.0,3,1,2016,1
55,16600.0,0,83,2.0,3,1,2013,1
5,73900.0,3,57,4.4,3,1,2013,2
55,26033.553,0,0,1.6,0,1,2016,1
5,104999.0,0,2,3.0,0,1,2016,1
5,66500.0,0,1,2.0,0,1,2016,1
5,65099.0,0,0,2.0,0,1,2016,1
5,23900.0,0,235,3.0,0,1,2007,1
50,69999.0,0,0,2.2,0,1,2016,1
5,66200.0,0,70,3.0,0,1,2014,1
5,63000.0,0,0,2.0,0,1,2015,1
50,105999.0,0,0,2.98,0,1,2016,1
77,10700.0,3,147,2.0,3,1,2007,0
4,2600.0,4,273,2.5,0,0,1999,0
13,13700.0,3,70,2.4,3,1,2008,0
77,8999.0,3,120,2.0,3,1,2008,0
37,18777.0,3,82,3.0,3,1,2008,2
4,37000.0,3,37,2.8,3,1,2012,1
50,200000.0,5,19,3.5,3,1,2013,2
4,3850.0,4,215,2.5,0,0,2002,0
50,20400.0,3,190,1.8,1,1,2011,2
5,1900.0,3,300,2.5,0,0,1997,2
50,99999.0,0,0,2.99,0,1,2016,1
50,70999.0,0,0,2.2,0,1,2016,1
5,63500.0,0,1,2.0,0,1,2016,1
5,59900.0,0,30,2.0,0,1,2016,1
52,9200.0,0,110,2.4,3,1,2006,1
55,20241.897,0,0,1.6,3,1,2015,0
50,14490.0,4,212,2.2,0,1,2008,2
77,8999.0,3,120,1.9,0,1,2007,0
4,3650.0,3,240,2.5,0,0,2000,0
52,12000.0,3,121,2.4,1,1,2009,0
39,20633.886000000002,0,0,1.7,0,1,2016,0
58,55000.0,0,105,3.0,0,1,2012,1
39,18000.0,0,64,2.0,0,1,2011,1
39,21700.0,0,58,2.0,0,1,2012,1
77,2400.0,4,320,1.9,0,0,2000,0
77,2350.0,3,300,1.9,0,0,1998,0
30,18600.0,4,98,2.4,1,1,2011,0
50,104999.0,0,1,3.0,0,1,2016,1
74,195000.0,0,0,4.5,0,1,2016,1
58,49900.0,0,73,3.0,0,1,2011,1
58,50900.0,0,53,3.6,3,1,2013,1
58,99999.0,0,1,2.99,0,1,2016,1
74,102999.0,0,0,4.5,0,1,2016,1
4,35900.0,0,143,3.0,0,1,2010,1
30,16500.0,3,147,2.4,3,1,2009,0
74,103999.0,0,0,4.5,0,1,2016,1
58,114900.0,0,25,4.8,3,1,2013,1
58,26500.0,0,160,4.8,3,1,2008,1
52,12999.0,0,140,2.4,1,1,2007,1
30,30000.0,3,52,3.5,1,1,2014,0
58,26900.0,0,135,4.8,3,1,2008,1
74,80000.0,0,23,4.5,0,1,2014,1
5,8500.0,3,260,2.2,1,1,2001,2
50,7000.0,5,197,2.2,0,1,2002,0
4,36000.0,0,145,3.0,3,1,2010,1
50,9500.0,5,280,2.2,0,1,2005,2
74,103999.0,0,0,4.5,0,1,2016,1
74,100000.0,0,0,4.5,0,1,2016,1
50,16500.0,2,107,2.2,0,1,2010,0
74,15500.0,3,120,3.5,3,1,2008,0
50,10999.0,5,191,2.2,0,1,2007,2
4,88888.0,0,0,3.0,0,1,2015,1
50,16500.0,5,223,2.2,0,1,2009,2
77,17900.0,0,145,3.0,0,1,2007,1
50,20400.0,3,190,1.8,1,1,2011,2
77,20000.0,0,115,2.5,0,1,2008,1
5,21000.0,3,186,3.0,3,1,2007,2
33,11800.0,3,65,1.4,3,1,2013,0
77,37990.0,0,140,3.0,0,1,2012,1
5,3900.0,4,240,3.0,0,0,2001,2
33,9700.0,3,54,1.4,3,1,2013,0
50,6200.0,3,221,1.8,1,1,2004,2
59,10500.0,4,185,1.5,0,1,2011,0
33,6900.0,0,105,1.6,3,1,2009,0
50,20300.0,3,198,1.8,1,1,2011,2
4,18500.0,0,185,3.6,3,1,2008,1
74,73900.0,0,1,4.5,0,1,2016,1
74,30500.0,0,40,2.7,3,1,2011,1
74,30800.0,0,56,2.7,1,1,2011,1
74,25500.0,0,200,4.0,3,1,2007,1
56,3550.0,4,231,2.0,0,0,2005,0
74,99999.0,0,0,4.5,3,1,2016,1
50,107999.0,0,0,2.98,0,1,2016,1
74,74999.0,0,1,4.5,0,1,2016,1
4,34000.0,0,118,2.0,0,1,2013,1
5,2850.0,3,214,1.9,3,0,2000,2
77,3250.0,3,255,1.9,0,0,2003,0
77,16900.0,0,133,2.5,0,1,2007,1
74,99999.0,0,0,4.5,0,1,2016,1
12,6800.0,3,106,1.6,3,1,2007,0
74,23400.0,0,120,4.0,3,1,2007,1
67,17900.0,3,65,1.8,3,1,2013,0
74,37700.0,0,62,3.0,0,1,2013,1
42,29500.0,0,50,3.5,0,1,2008,1
77,30000.0,3,67,2.0,0,1,2013,0
52,7999.0,3,112,2.0,3,1,2008,0
42,43500.0,0,54,5.0,3,1,2012,1
50,107777.0,0,0,3.0,0,1,2016,1
52,8400.0,3,91,1.5,3,1,2009,0
42,40000.0,4,52,2.2,0,1,2013,1
50,109999.0,0,0,2.98,0,1,2016,1
56,2780.0,3,254,2.2,0,1,2003,0
50,43500.0,2,51,3.0,0,1,2014,2
77,18700.0,2,145,2.0,0,1,2011,0
12,7800.0,3,85,1.6,1,1,2012,0
5,6350.0,0,156,4.4,1,0,2002,1
5,25500.0,2,163,4.8,3,1,2008,1
42,53500.0,0,69,3.5,0,1,2012,1
55,15999.0,0,59,2.0,3,1,2011,1
77,14499.0,5,164,2.0,0,1,2013,0
17,4300.0,3,70,1.5,3,1,2007,0
52,18999.0,0,173,3.8,1,1,2008,1
50,71999.0,0,0,2.2,0,1,2016,1
52,18500.0,0,135,3.0,1,1,2009,1
77,18900.0,2,45,2.0,0,1,2013,0
5,67500.0,0,1,2.0,0,1,2016,1
5,67500.0,0,1,2.5,0,1,2016,1
42,28999.0,0,139,3.6,0,1,2008,1
42,49999.0,0,43,5.0,3,1,2012,1
74,14700.0,3,139,3.5,3,1,2008,0
42,53500.0,0,57,3.0,0,1,2013,1
17,5600.0,3,145,1.6,3,1,2008,0
42,78900.0,0,0,3.0,0,1,2015,1
67,13200.0,1,64,1.8,3,1,2012,0
5,37200.0,2,115,3.0,0,1,2011,1
42,27500.0,2,174,3.6,0,1,2008,1
49,9200.0,3,124,2.0,3,1,2007,0
50,17500.0,5,220,3.0,0,1,2012,2
74,24000.0,3,16,2.5,3,1,2013,0
42,77777.0,0,42,2.99,0,1,2014,1
49,8000.0,3,167,2.0,3,1,2007,0
43,85999.0,0,39,5.7,1,1,2013,1
50,2400.0,3,3,3.0,0,1,1998,0
74,195000.0,0,0,4.5,0,1,2016,1
4,4600.0,4,242,99.99,0,0,2004,0
52,18900.0,0,127,3.0,1,1,2008,1
50,114999.0,0,0,2.99,0,1,2016,1
50,103333.0,0,0,3.0,0,1,2016,1
74,20800.0,0,107,4.0,3,1,2006,1
5,24500.0,0,170,4.8,1,1,2007,1
74,12300.0,3,157,2.4,1,1,2007,0
50,20500.0,3,173,1.8,1,1,2011,2
5,11500.0,3,193,4.4,3,1,2000,2
50,13200.0,5,182,2.2,0,1,2011,2
5,29900.0,0,235,3.0,0,1,2009,1
50,12500.0,5,167,2.2,0,1,2013,2
67,13999.0,3,88,1.8,3,1,2012,0
23,15500.0,0,68,2.5,1,1,2010,1
43,79500.0,0,40,5.7,3,1,2014,1
42,30000.0,2,155,3.6,0,1,2008,1
43,16600.0,3,179,3.0,3,1,2006,1
74,14300.0,3,71,2.4,3,1,2008,0
43,47000.0,0,1,5.7,3,1,2008,1
17,3200.0,3,130,1.5,3,1,2003,0
4,24996.0,3,98,3.2,3,1,2009,1
50,9200.0,2,280,2.4,3,1,2003,2
4,6800.0,3,225,2.4,1,1,1998,0
23,15500.0,0,68,2.5,0,1,2010,0
50,38200.0,3,39,1.6,3,1,2015,2
67,19200.0,3,75,1.8,3,1,2014,0
50,125000.0,3,18,3.0,0,1,2015,1
58,87900.0,0,1,3.0,0,1,2016,1
74,9000.0,3,232,2.4,3,1,2005,0
34,35999.0,0,98,3.7,1,1,2012,1
43,21900.0,3,77,3.0,3,1,2008,2
74,13900.0,3,139,2.4,2,1,2008,0
43,22400.0,0,100,4.7,1,1,2005,1
58,81000.0,0,35,4.8,3,1,2014,1
50,6200.0,2,340,2.4,1,1,1998,2
5,66900.0,0,70,3.0,0,1,2014,1
5,104999.0,0,2,3.0,0,1,2016,1
50,38600.0,2,12,1.8,3,1,2012,2
55,21850.0,0,64,2.0,3,1,2013,1
50,37500.0,2,94,5.5,3,1,2009,2
4,39000.0,3,18,1.8,2,1,2015,0
43,44500.0,0,144,5.7,1,1,2009,1
