id,locn,species,lngth,wgt,ddt
1,FCM5,CATFISH,42.5,732,10
2,FCM5,CATFISH,44,795,16
3,FCM5,CATFISH,41.5,547,23
4,FCM5,CATFISH,39,465,21
5,FCM5,CATFISH,50.5,1252,50
6,FCM5,CATFISH,52,1255,150
7,LCM3,CATFISH,40.5,741,28
8,LCM3,CATFISH,48,1151,7.7
9,LCM3,CATFISH,48,1186,2
10,LCM3,CATFISH,43.5,754,19
11,LCM3,CATFISH,40.5,679,16
12,LCM3,CATFISH,47.5,985,5.4
13,SCM1,CATFISH,44.5,1133,2.6
14,SCM1,CATFISH,46,1139,3.1
15,SCM1,CATFISH,48,1186,3.5
16,SCM1,CATFISH,45,984,9.1
17,SCM1,CATFISH,43,965,7.8
18,SCM1,CATFISH,45,1084,4.1
19,TRM275,CATFISH,48,986,8.4
20,TRM275,CATFISH,45,1023,15
21,TRM275,CATFISH,49,1266,25
22,TRM275,CATFISH,50,1086,5.6
23,TRM275,CATFISH,46,1044,4.6
24,TRM275,CATFISH,52,1770,8.2
25,TRM280,CATFISH,48,1048,6.1
26,TRM280,CATFISH,51,1641,13
27,TRM280,CATFISH,48.5,1331,6
28,TRM280,CATFISH,51,1728,6.6
29,TRM280,CATFISH,44,917,5.5
30,TRM280,CATFISH,51,1398,11
31,TRM280,BUFFALO,49,1763,4.5
32,TRM280,BUFFALO,46,1459,4.2
33,TRM280,BUFFALO,52,2302,3
34,TRM280,BUFFALO,46,1614,2.3
35,TRM280,BUFFALO,46,1444,2.5
36,TRM280,BUFFALO,48,2006,6.8
37,TRM285,CATFISH,44,936,19
38,TRM285,CATFISH,42,1058,7.2
39,TRM285,CATFISH,42.5,800,6
40,TRM285,CATFISH,45.5,1087,10
41,TRM285,CATFISH,48,1329,12
42,TRM285,CATFISH,44,897,2.8
43,TRM285,BASS,28.5,778,0.48
44,TRM285,BASS,26,532,0.18
45,TRM285,BASS,25.5,441,0.34
46,TRM285,BASS,25,544,0.11
47,TRM285,BASS,23,393,0.22
48,TRM285,BASS,28,733,0.8
49,TRM290,CATFISH,41,961,8.7
50,TRM290,CATFISH,44,886,22
51,TRM290,CATFISH,41,678,13
52,TRM290,CATFISH,42,1011,3.5
53,TRM290,CATFISH,42.5,947,9.3
54,TRM290,CATFISH,44,989,21
55,TRM290,BUFFALO,43.5,1291,3.4
56,TRM290,BUFFALO,46.5,1186,13
57,TRM290,BUFFALO,43,1293,5.6
58,TRM290,BUFFALO,47,1709,12
59,TRM290,BUFFALO,46,1425,21
60,TRM290,BUFFALO,41,1176,8
61,TRM295,CATFISH,36,980,12
62,TRM295,CATFISH,47.5,1176,6
63,TRM295,CATFISH,41.5,989,4.7
64,TRM295,CATFISH,49.5,1084,31
65,TRM295,CATFISH,46,1115,5.2
66,TRM295,CATFISH,46.5,724,27
67,TRM300,CATFISH,36,847,18
68,TRM300,CATFISH,37,876,7.5
