,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
4,Adelie,2,36.7,19.3,193.0,3450.0,1
5,Adelie,2,39.3,20.6,190.0,3650.0,0
7,Adelie,2,39.2,19.6,195.0,4675.0,0
9,Adelie,2,42.0,20.2,190.0,4250.0,0
11,Adelie,2,37.8,17.3,180.0,3700.0,0
12,Adelie,2,41.1,17.6,182.0,3200.0,1
13,Adelie,2,38.6,21.2,191.0,3800.0,0
15,Adelie,2,36.6,17.8,185.0,3700.0,1
16,Adelie,2,38.7,19.0,195.0,3450.0,1
17,Adelie,2,42.5,20.7,197.0,4500.0,0
18,Adelie,2,34.4,18.4,184.0,3325.0,1
19,Adelie,2,46.0,21.5,194.0,4200.0,0
20,Adelie,0,37.8,18.3,174.0,3400.0,1
21,Adelie,0,37.7,18.7,180.0,3600.0,0
22,Adelie,0,35.9,19.2,189.0,3800.0,1
24,Adelie,0,38.8,17.2,180.0,3800.0,0
26,Adelie,0,40.6,18.6,183.0,3550.0,0
27,Adelie,0,40.5,17.9,187.0,3200.0,1
28,Adelie,0,37.9,18.6,172.0,3150.0,1
30,Adelie,1,39.5,16.7,178.0,3250.0,1
32,Adelie,1,39.5,17.8,188.0,3300.0,1
33,Adelie,1,40.9,18.9,184.0,3900.0,0
35,Adelie,1,39.2,21.1,196.0,4150.0,0
36,Adelie,1,38.8,20.0,190.0,3950.0,0
39,Adelie,1,39.8,19.1,184.0,4650.0,0
40,Adelie,1,36.5,18.0,182.0,3150.0,1
41,Adelie,1,40.8,18.4,195.0,3900.0,0
44,Adelie,1,37.0,16.9,185.0,3000.0,1
45,Adelie,1,39.6,18.8,190.0,4600.0,0
47,Adelie,1,37.5,18.9,179.0,2975.0,0
48,Adelie,1,36.0,17.9,190.0,3450.0,1
49,Adelie,1,42.3,21.2,191.0,4150.0,0
50,Adelie,0,39.6,17.7,186.0,3500.0,1
51,Adelie,0,40.1,18.9,188.0,4300.0,0
52,Adelie,0,35.0,17.9,190.0,3450.0,1
53,Adelie,0,42.0,19.5,200.0,4050.0,0
56,Adelie,0,39.0,17.5,186.0,3550.0,1
58,Adelie,0,36.5,16.6,181.0,2850.0,1
61,Adelie,0,41.3,21.1,195.0,4400.0,0
62,Adelie,0,37.6,17.0,185.0,3600.0,1
63,Adelie,0,41.1,18.2,192.0,4050.0,0
65,Adelie,0,41.6,18.0,192.0,3950.0,0
70,Adelie,2,33.5,19.0,190.0,3600.0,1
71,Adelie,2,39.7,18.4,190.0,3900.0,0
75,Adelie,2,42.8,18.5,195.0,4250.0,0
76,Adelie,2,40.9,16.8,191.0,3700.0,1
77,Adelie,2,37.2,19.4,184.0,3900.0,0
78,Adelie,2,36.2,16.1,187.0,3550.0,1
79,Adelie,2,42.1,19.1,195.0,4000.0,0
80,Adelie,2,34.6,17.2,189.0,3200.0,1
81,Adelie,2,42.9,17.6,196.0,4700.0,0
82,Adelie,2,36.7,18.8,187.0,3800.0,1
85,Adelie,1,41.3,20.3,194.0,3550.0,0
