,0,1
0,neg,"@jamielewislewis i cant believe it, it really doesnt belong there! i hope it doesnt ruin it  im not too bad thanks!hows life treatin you?x"
1,pos,"having a vodka tonic and looking forward to going to Saddle Ranch at the Westgate with the husband, sans kiddos "
2,pos,@ddlovatofans1neg1 Could you follow me please.I would really appreciate it. 
3,pos,@jordanknight for once.................. PLEASE TELL US WHY u were thinking of this person?!? 
4,neg,Had a dream about a walk in fast food resturaunt that sold ice cream and guitar strings.They were sold out of 12gauge 
5,pos,@TroyBrownBBNews Yes... For a &quot;friend&quot; 
6,pos,Packing for work expierance 
7,neg,hates @internet @explrer (angry)(angry) **but no choice**  http://plurk.com/p/rqqi5
8,neg,@federalcase  I said I go out for eat 5:negneg p.m.  I disappointed you.
9,neg,@babykates7 yeah they won't do the surgery till the cold is gone...poor thing still has runny eyes 
10,pos,@BritRuxpin. I say answering with no pants. 
11,neg,"Am in the place called negUT OF NOW WHERE!! Take me out from here, somebody  http://myloc.me/1XRI"
12,neg,"3am, still up.. flying to LA ltr 8am..hayyy sleep deprived again "
13,neg,"2 down, 8 to go...looks like i wont be getting out early "
14,neg,It's Increible How Someone Forgot U Soo Fast! 
15,neg,"That little girl holly!  find some time! Aw, she'll get loads of votes now I bet!"
16,neg,Aapko huyi asuvidha ke liye hume khed hay Train 3neg minutes late 
17,neg,"@brightondoll ugh, me too. 3:pos5 and going strong! I just spent like, 3 hours playing rollercoaster tycoon but now I'm bored again. "
18,neg,Will be back when I think everyone is up 
19,pos,"&quot;so we keep waitin, waitin , waitin on the world to change&quot; - john mayer "
20,neg,@carposdave sinus infection.    the whole left side of my face hurts.
21,neg,@twilighterNY I've seen the pics but only on my phone. I wanna be on my COMPUTER. im in rehab 
22,neg,"@Streyeder I wish I had time or extracurricular workout, but I've barely been to d gym pos times in last 1neg days "
23,pos,"@ms_cornwall night you, may your dreams be wonderful "
24,pos,Star Wars: Old Republic: http://digg.com/d1sgupos and it maybe coming to the PS3 and eggbox: http://digg.com/u1poscY2 
25,pos,You could be my punk rock princess 
26,neg,"@YukiB Iknow, I am just jealous and hate to be cold in June "
27,pos,19 more sleeps untill Take That ahhhhhhhhhhhhhhh 
28,pos,aaaw! my moms crying. She loved the mixed tape i gave her 
29,neg,@Velf79 Missed you last night hon 
30,pos,Morning y'all. Looking forward to a nice BBQ today. Can everyone follow @RebeccaMasters please? 
31,pos,"Feeling happy! Happy Happy! Think i inspired ppl today thro my sermon. Mashallah, Alhamdulillah! Happiness all around! Bring on the Ajr! "
32,neg,@carolemoyes @trimmtrab real tea makes me poorly  i drink fruit tea or coffee x
33,pos,Started faffing around with photography and web design again  http://www.lightsondoorsopen.co.uk
34,pos,eating!! mmmm delicious! 
35,pos,okay glowing screens are forcing my eyes to close... my official -&gt; goodnight tweets  yep @ 2:21am
36,neg,@Jzakoni i will twitter about it. i dont have much friends though  im not ::sigh:: popular 
37,pos,@paulcargill thanks  xxx
38,pos,@bluefirebug Love cupcakes too. We also dig Johnny Cupcakes. 
39,neg,"Going to get fertilizer, instead of a movie.   Oh the joys of farm life! Can I get an amen Travis?"
40,pos,"Sawdust in my hair, ears, crack... Everywhere! Now for a ride "
